substanceId,description
edgeblock_tool_camera,"복도의 흔들림을 사진으로 붙잡기 위한 장비. 형체를 남기는 데 강하지만, 찍힌 것이 언제부터 거기 있었는지는 보장하지 않는다."
edgeblock_tool_flashlight,"백룸의 어둠을 밀어내는 휴대용 손전등. 빛이 닿은 곳은 안전해 보이지만, 빛 밖의 공간은 더 깊게 느껴진다."
edgeblock_tool_recorder,"보이지 않는 움직임을 소리로 남기는 녹음기. 환풍음, 발소리, 낮은 울림을 구분해 주지만 침묵까지 설명해 주지는 못한다."
edgeblock_tool_ultrasonic_sensor,"눈으로는 잴 수 없는 거리와 깊이를 소리로 더듬는 센서. 구덩이의 구조를 읽는 데 유용하지만, 복도에서 따라오는 것을 막지는 못한다."
,
person_worker,"백룸에 투입되는 평범한 직원. 방은 그를 잠시 붙잡아 두지만, 복도와 구덩이는 준비 없는 사람을 온전하게 돌려보내지 않는다."
person_worker_dead_1,회수되었지만 살아 있지는 않은 직원. 스캔하면 그가 어디서 어떻게 망가졌는지 사망진단서라는 형태로 남길 수 있다.
evidence_meaningless_observation,형식은 갖췄지만 결론으로 이어지지 않는 관측 데이터. 쓸모없어 보이는 수치들 사이에도 백룸이 기록을 망가뜨리는 방식이 남아 있다.
evidence_death_certificate,백룸에서의 죽음을 바깥 세계의 양식으로 억지로 정리한 문서. 다른 증거와 합치면 죽음을 피하기 위한 장비의 설계 단서가 된다.
evidence_employee_entity_record,"직원이 엔티티에 대해 남긴 불완전한 작성 기록. 목격담인지 착각인지 분명하지 않지만, 카메라 제작에는 충분한 단서가 된다."
evidence_photo_blurry_shaken,"초점도 구도도 무너진 사진. 찍은 사람은 도망치고 있었고, 피사체는 화면보다 가까운 곳에 있었던 것처럼 보인다."
evidence_photo_blurry,"초점이 맞지 않는 사진. 흐릿한 윤곽만 남아 있지만, 백룸 안에서 무엇을 찍으려 했는지는 간신히 짐작할 수 있다."
evidence_previous_victim_notes,"방 안에서 발견한 이전 희생자들의 기록. 서로 다른 필체가 같은 경고를 반복하고 있어, 버리기에는 지나치게 구체적이다."
evidence_entity_clear_photo,"엔티티가 비교적 선명하게 찍힌 드문 사진. 선명할수록 설명하기 어려운 부분이 늘어나며, 오래 보고 있으면 위치 감각이 흐려진다."
evidence_blackout_observation,조명이 꺼진 동안 남겨진 관측 기록. 보이지 않았던 시간의 변화가 손전등의 필요성을 가장 노골적으로 증명한다.
evidence_entity_sound_record,"엔티티로 추정되는 소리가 담긴 기록. 숨소리, 벽 너머의 마찰음, 뒤늦게 가까워지는 발소리가 한 트랙 안에 겹쳐 있다."
evidence_hole_depth_report,"구덩이의 깊이를 측정하려다 작성된 관측 보고. 숫자는 계속 갱신되지만, 바닥에 닿았다는 기록은 어디에도 없다."
archive_plain_h,"소장용으로 정리된 무장비 탐사기록. 복도만을 따라간 기록으로, 벽지와 형광등의 반복이 시간 감각을 무너뜨린다. 별다른 장비가 없어 공백과 추정이 대부분이며, 기록의 가장 중요한 부분은 대개 빠져 있다. 마지막 표기는 탐사 완료가 아니라 수습 요청에 가깝다."
archive_plain_r,"소장용으로 정리된 무장비 탐사기록. 방 내부를 관찰한 기록으로, 정적과 이전 흔적이 비교적 온전하게 남아 있다. 별다른 장비가 없어 공백과 추정이 대부분이며, 기록의 가장 중요한 부분은 대개 빠져 있다. 회수 표기는 안정적이지만, 방을 나온 뒤의 침묵이 지나치게 길다."
archive_plain_o,"소장용으로 정리된 무장비 탐사기록. 구덩이 가장자리를 다룬 기록으로, 깊이를 재는 순간부터 기준점이 흔들린다. 별다른 장비가 없어 공백과 추정이 대부분이며, 기록의 가장 중요한 부분은 대개 빠져 있다. 끝부분은 추락음인지 응답인지 알 수 없는 단절로 끊긴다."
archive_plain_h_r,"소장용으로 정리된 무장비 탐사기록. 복도에서 방으로 이동한 기록으로, 반복되는 벽면 끝에 열린 문과 오래된 먼지가 함께 남아 있다. 별다른 장비가 없어 공백과 추정이 대부분이며, 기록의 가장 중요한 부분은 대개 빠져 있다. 방에 도착한 뒤 회수 절차가 정상으로 처리되었다."
archive_plain_h_o,"소장용으로 정리된 무장비 탐사기록. 복도에서 구덩이로 이어진 기록으로, 직선 통로의 끝이 갑자기 아래로 꺾이는 순간이 핵심이다. 별다른 장비가 없어 공백과 추정이 대부분이며, 기록의 가장 중요한 부분은 대개 빠져 있다. 구덩이 앞에서 기록은 끊기고, 남은 것은 수습 대상뿐이다."
archive_plain_r_h,"소장용으로 정리된 무장비 탐사기록. 방에서 복도로 되돌아간 기록으로, 조용한 출발지 뒤에 같은 모양의 길이 끝없이 늘어난다. 별다른 장비가 없어 공백과 추정이 대부분이며, 기록의 가장 중요한 부분은 대개 빠져 있다. 복도로 되돌아간 순간부터 기록은 구조 요청이 아니라 부검 단서가 된다."
archive_plain_r_o,"소장용으로 정리된 무장비 탐사기록. 방에서 구덩이로 내려간 기록으로, 이전 희생자의 흔적을 뒤로하고 검은 틈을 조사한다. 별다른 장비가 없어 공백과 추정이 대부분이며, 기록의 가장 중요한 부분은 대개 빠져 있다. 회수는 가능했으며, 구덩이보다 방 안의 흔적이 더 오래 문제로 남았다."
archive_plain_o_h,"소장용으로 정리된 무장비 탐사기록. 구덩이에서 복도로 빠져나가려 한 기록으로, 아래에서 들리던 울림이 뒤쪽 발소리처럼 따라붙는다. 별다른 장비가 없어 공백과 추정이 대부분이며, 기록의 가장 중요한 부분은 대개 빠져 있다. 복도로 나온 뒤 이어지는 소리는 탐사자의 것이 아닐 가능성이 높다."
archive_plain_o_r,"소장용으로 정리된 무장비 탐사기록. 구덩이에서 방으로 향한 기록으로, 깊이의 소음을 벗어난 뒤에도 방 안의 공기는 지나치게 고요하다. 별다른 장비가 없어 공백과 추정이 대부분이며, 기록의 가장 중요한 부분은 대개 빠져 있다. 방으로 들어온 뒤 탐사자는 간신히 절차를 마쳤다."
archive_record_h,"소장용으로 정리된 기록 탐사기록. 복도만을 따라간 기록으로, 벽지와 형광등의 반복이 시간 감각을 무너뜨린다. 기록 행위가 남긴 문장은 많지만, 확정적인 결론보다 반복되는 경고가 더 많이 보인다. 마지막 표기는 탐사 완료가 아니라 수습 요청에 가깝다."
archive_record_r,"소장용으로 정리된 기록 탐사기록. 방 내부를 관찰한 기록으로, 정적과 이전 흔적이 비교적 온전하게 남아 있다. 기록 행위가 남긴 문장은 많지만, 확정적인 결론보다 반복되는 경고가 더 많이 보인다. 회수 표기는 안정적이지만, 방을 나온 뒤의 침묵이 지나치게 길다."
archive_record_o,"소장용으로 정리된 기록 탐사기록. 구덩이 가장자리를 다룬 기록으로, 깊이를 재는 순간부터 기준점이 흔들린다. 기록 행위가 남긴 문장은 많지만, 확정적인 결론보다 반복되는 경고가 더 많이 보인다. 끝부분은 추락음인지 응답인지 알 수 없는 단절로 끊긴다."
